0,1,2
713086,30.2798,76.6173
713122,30.28,76.6055
713161,30.2803,76.6022
713162,30.2803,76.6129
713394,30.2819,76.6075
713439,30.2822,76.6151
713514,30.2827,76.6112
713575,30.2831,76.6038
713686,30.2839,76.6057
713710,30.284,76.6135
713769,30.2844,76.6154
713952,30.2856,76.6121
713995,30.2859,76.6044
714108,30.2866,76.6198
714142,30.2868,76.5886
714179,30.287,76.6155
714189,30.2871,76.6226
714204,30.2872,76.6053
714207,30.2872,76.6111
714208,30.2872,76.6151
714263,30.2876,76.6208
714267,30.2876,76.6074
714334,30.2881,76.6311
714340,30.2881,76.6039
714397,30.2885,76.6294
714508,30.2892,76.6178
714517,30.2892,76.5855
714587,30.2897,76.625
714649,30.2902,76.6367
714725,30.2907,76.596
714741,30.2908,76.5903
714808,30.2912,76.5955
714875,30.2917,76.6171
714893,30.2918,76.6173
714932,30.2922,76.6094
715054,30.2929,76.6116
715064,30.293000000000006,76.6399
715081,30.2931,76.6274
715093,30.2931,76.6071
715121,30.2933,76.622
715243,30.2941,76.6418
715257,30.2942,76.5962
715292,30.2944,76.5772
715686,30.2971,76.6007
715846,30.2982,76.593
715959,30.299,76.5884
716071,30.2997,76.5942
716106,30.3,76.6466
716190,30.3004,76.5718
716223,30.3007,76.6085
716497,30.3024,76.6223
716612,30.303,76.5926
716689,30.3035,76.5875
716834,30.3045,76.5995
716849,30.3046,76.62899999999998
716906,30.3049,76.5978
717032,30.3057,76.5817
717037,30.3057,76.6018
717060,30.3058,76.6154
717078,30.3059,76.6179
717086,30.306,76.609
717222,30.3069,76.5756
717247,30.3071,76.6338
717262,30.3072,76.6383
717307,30.3075,76.6194
717317,30.3076,76.6484
717390,30.308000000000003,76.6003
717532,30.3089,76.6298
717784,30.3104,76.6106
717804,30.3106,76.6126
718061,30.3121,76.6331
718452,30.3144,76.6383
718586,30.3152,76.6442
718733,30.3162,76.6193
718740,30.3163,76.58800000000002
718751,30.3164,76.6202
718945,30.3176,76.6347
718963,30.3176,76.6198
719060,30.3182,76.6392
719177,30.3189,76.611
719364,30.3199,76.6431
719418,30.3203,76.6063
719515,30.3207,76.6237
719665,30.3215,76.594
719698,30.3218,76.6296
719719,30.3219,76.6411
719758,30.3221,76.6432
719958,30.3233,76.6409
719970,30.3234,76.6171
719979,30.3234,76.6243
720074,30.324,76.5696
720152,30.3244,76.6367
720212,30.3247,76.6321
720242,30.3249,76.6376
720255,30.3249,76.6448
720292,30.3251,76.5751
720392,30.3256,76.6173
720402,30.3257,76.6522
720612,30.327,76.6357
720629,30.3272,76.5868
720652,30.3274,76.6415
720670,30.3275,76.6376
720752,30.3281,76.5705
720774,30.3282,76.6431
720839,30.3287,76.5663
720845,30.3287,76.6
720870,30.3289,76.5774
720875,30.3289,76.5989
720901,30.3291,76.6454
720913,30.3293,76.6429
721030,30.33,76.5989
721047,30.3301,76.6454
721092,30.3303,76.6297
721118,30.3305,76.5937
721140,30.3306,76.6351
721163,30.3307,76.5959
721164,30.3308,76.6305
721238,30.3313,76.5912
721266,30.3315,76.58800000000002
721377,30.3322,76.5834
721388,30.3322,76.6412
721406,30.3323,76.6408
721413,30.3324,76.5951
721435,30.3325,76.5897
721567,30.3333,76.5833
721568,30.3333,76.64399999999998
721581,30.3334,76.6431
721592,30.3335,76.57
721665,30.334,76.5767
721761,30.3346,76.6068
721846,30.3352,76.5949
721990,30.3361,76.64699999999998
721995,30.3361,76.6238
722033,30.3364,76.6434
722121,30.3369,76.5681
722142,30.337,76.5871
722239,30.3377,76.5929
722289,30.338,76.6471
722365,30.3384,76.5817
722558,30.3396,76.5912
722839,30.3413,76.6475
722925,30.3418,76.5924
723050,30.3425,76.6111
723082,30.3427,76.5812
723107,30.3428,76.6121
723181,30.3433,76.5806
723327,30.3443,76.6152
723365,30.3446,76.5928
723382,30.3447,76.5918
723405,30.3449,76.5838
723475,30.3453,76.5943
723476,30.3453,76.6272
723632,30.3463,76.5815
723729,30.3469,76.6376
723755,30.347,76.5912
723803,30.3473,76.6119
723957,30.3483,76.5823
724060,30.349,76.58
724175,30.3497,76.5773
724312,30.3505,76.5932
724356,30.3507,76.5786
724404,30.3511,76.5885
724475,30.3515,76.6209
724765,30.3533,76.5842
724791,30.3535,76.5996
725039,30.3551,76.5869
725217,30.3563,76.6255
725356,30.3572,76.59
725820,30.3604,76.5948
726251,30.3631,76.5955
726278,30.3633,76.6101
726288,30.3633,76.6024
726454,30.3644,76.6164
726476,30.3645,76.5998
