latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
23.01276,-82.74593,306.6,0.75,0.77,2019-10-12,0612,N,nominal,1.0NRT,288.5,1.6,N
19.85667,-70.97295,305.3,0.42,0.37,2019-10-12,0612,N,nominal,1.0NRT,292.3,0.5,N
45.77935,-73.91289,299.3,0.36,0.57,2019-10-12,0606,N,nominal,1.0NRT,278.4,0.4,N
41.43475,-75.59516,297.6,0.4,0.6,2019-10-12,0606,N,nominal,1.0NRT,279.7,0.4,N
41.36044,-74.29038,308.9,0.35,0.56,2019-10-12,0606,N,nominal,1.0NRT,279.3,1.2,N
40.88956,-77.71119,317.1,0.52,0.67,2019-10-12,0606,N,nominal,1.0NRT,280.6,1.7,N
40.63729,-74.22035,296.8,0.34,0.56,2019-10-12,0606,N,nominal,1.0NRT,284.4,1.8,N
39.9379,-76.81343,296.1,0.46,0.63,2019-10-12,0606,N,nominal,1.0NRT,280.3,1.1,N
39.72168,-75.55416,295.5,0.39,0.59,2019-10-12,0606,N,nominal,1.0NRT,282.3,0.4,N
39.58947,-75.63337,301.8,0.39,0.6,2019-10-12,0606,N,nominal,1.0NRT,284.9,1.2,N
39.58391,-75.63387,300.2,0.39,0.6,2019-10-12,0606,N,nominal,1.0NRT,284.9,1.1,N
36.35561,-76.80487,323.9,0.43,0.62,2019-10-12,0606,N,nominal,1.0NRT,284.5,1.9,N
36.35585,-76.80981,304.3,0.43,0.62,2019-10-12,0606,N,nominal,1.0NRT,285,1.9,N
35.71343,-78.83908,295.3,0.55,0.68,2019-10-12,0606,N,nominal,1.0NRT,284.6,0.5,N
35.50209,-80.33408,298.6,0.66,0.73,2019-10-12,0606,N,nominal,1.0NRT,285.7,1.6,N
35.50246,-80.33414,297.7,0.66,0.73,2019-10-12,0606,N,nominal,1.0NRT,285.6,1.5,N
35.30125,-77.46629,303.5,0.46,0.63,2019-10-12,0606,N,nominal,1.0NRT,281.3,0.8,N
35.3038,-77.46712,305.8,0.46,0.63,2019-10-12,0606,N,nominal,1.0NRT,280.6,0.5,N
35.341,-80.82838,295.4,0.71,0.75,2019-10-12,0606,N,nominal,1.0NRT,282.4,0.8,N
35.0822,-77.92436,302.9,0.48,0.65,2019-10-12,0606,N,nominal,1.0NRT,282.4,0.7,N
34.37254,-79.89158,297,0.62,0.71,2019-10-12,0606,N,nominal,1.0NRT,286,1,N
34.18205,-78.56249,301.2,0.52,0.67,2019-10-12,0606,N,nominal,1.0NRT,284.8,0.8,N
33.96,-81.05202,301.5,0.71,0.75,2019-10-12,0606,N,nominal,1.0NRT,286,1.4,N
33.96278,-81.0499,301,0.71,0.75,2019-10-12,0606,N,nominal,1.0NRT,286.5,1.1,N
33.01616,-79.88434,305.9,0.6,0.71,2019-10-12,0606,N,nominal,1.0NRT,288.6,2,N
33.00266,-79.87854,301.5,0.6,0.71,2019-10-12,0606,N,nominal,1.0NRT,288.4,1.6,N
33.01267,-79.88947,300.2,0.6,0.71,2019-10-12,0606,N,nominal,1.0NRT,288.1,1.2,N
33.01238,-79.88269,301.3,0.6,0.71,2019-10-12,0606,N,nominal,1.0NRT,288,1.2,N
30.28195,-81.9816,304.8,0.76,0.77,2019-10-12,0606,N,nominal,1.0NRT,286.6,2.4,N
22.26433,-97.80604,332.1,0.51,0.41,2019-10-12,0754,N,nominal,1.0NRT,289.8,6.7,N
22.26119,-97.81155,303.9,0.51,0.41,2019-10-12,0754,N,nominal,1.0NRT,288.5,1.9,N
22.25742,-97.81213,303.7,0.51,0.41,2019-10-12,0754,N,nominal,1.0NRT,288.1,1.9,N
20.94448,-89.66459,310.7,0.51,0.41,2019-10-12,0754,N,nominal,1.0NRT,293.2,1.5,N
19.60919,-92.25835,310.3,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,295,0.9,N
19.59256,-92.20101,313.4,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,294.6,1,N
19.58915,-92.20165,309.1,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,294.2,0.8,N
19.60079,-92.29208,336.5,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,294.8,5,N
19.56537,-92.18591,322.7,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,295.1,2.7,N
19.56712,-92.23807,338,0.41,0.37,2019-10-12,0754,N,nominal,1.0NRT,295.1,9,N
